region,rvalue-s,pvalue-s,fdr-pvalue-s,rvalue,pvalue,fdr-pvalue
A8m_R,-0.13883548856311717,0.06931824960804654,0.9334118138023336,-0.12923726407948624,0.09109205050556873,0.8985659453285696
A8dl_R,-0.15059884889139524,0.04861592787340133,0.9045130346121473,-0.15539954731072733,0.04179377606895759,0.8985659453285696
A9l_R,-0.18508095817013587,0.015071683362566897,0.567619935412725,-0.18805564537939823,0.013495276849577818,0.5331283446170078
A6dl_R,-0.07133269620103713,0.35243162625337343,0.9610773654871112,-0.10785494382893843,0.15904180818748487,0.8985659453285696
A6m_R,-0.048298453929265156,0.5292333441182524,0.9610773654871112,-0.0408175127917339,0.5949789252094092,0.9571776199669187
A9m_R,-0.12344510196295956,0.10667090327230144,0.9605218676560692,-0.14008958015303657,0.06681599045228957,0.8985659453285696
A10m_R,-0.1456862309094652,0.056532064663259204,0.9045130346121473,-0.13757863776293125,0.07190201972469538,0.8985659453285696
46d_R,-0.18061765169443106,0.017738122981647658,0.567619935412725,-0.2068749103646941,0.006471659768482663,0.5331283446170078
IFJ_R,0.0261334614893541,0.733633571159886,0.9610773654871112,0.010294294380921817,0.8933808349653081,0.9714432380205292
A46_R,-0.20472941463744318,0.007059617217712451,0.5271180855891964,-0.20037732224850513,0.008400198455272118,0.5331283446170078
46v_R,-0.08823410088964356,0.24973727015456332,0.9610773654871112,-0.11925485774618597,0.11919199086695842,0.8985659453285696
A8vl_R,-0.048135061830612544,0.530629216349077,0.9610773654871112,-0.03395809173020534,0.658318214152213,0.9571776199669187
A6vl_R,0.010911163027600397,0.8870331392150188,0.9769364305569669,0.01636287407163342,0.8312906674954668,0.9693292437985219
A10l_R,-0.13066797424777968,0.08753776132777787,0.9605218676560692,-0.1171161949725567,0.12600813444003126,0.8985659453285696
A44d_R,-0.05882269924508436,0.4433841104038352,0.9610773654871112,-0.01848092813049044,0.8098432239596536,0.9693292437985219
IFS_R,0.023820421320522932,0.7564332601208708,0.9610773654871112,-0.002674767747749926,0.9722204668384745,0.997129266227248
A45c_R,-0.1239508189208698,0.10523236477137707,0.9605218676560692,-0.12079443124817385,0.11446509396063308,0.8985659453285696
A45r_R,-0.02646490681696326,0.7303849659389554,0.9610773654871112,-0.039364449374648995,0.6081652430103439,0.9571776199669187
A44op_R,-0.026513267167254984,0.7299113690913044,0.9610773654871112,-0.0687666200347975,0.37006525914921773,0.9571776199669187
A44v_R,0.14708387708970383,0.05417858058782358,0.9045130346121473,0.11234577792398526,0.14229267775826945,0.8985659453285696
A14m_R,0.005192843114319307,0.9460982026113328,0.9819566511642519,0.013847916007683318,0.8569185800809676,0.9693292437985219
47o_R,0.06800644771755732,0.3753915785477785,0.9610773654871112,0.0645432456652759,0.4002460531430473,0.9571776199669187
A11l_R,0.13611618375261578,0.07500630646625896,0.9334118138023336,0.10207523537418545,0.18272038854603798,0.9251214856689762
A11m_R,-0.02219505482842621,0.7725825496413433,0.9610773654871112,-0.025375117856982758,0.7410840682371701,0.9571776199669187
A13_R,0.18233867995758743,0.01666497757575096,0.567619935412725,0.186538540868688,0.014280223516526991,0.5331283446170078
47l_R,-0.02257957881599421,0.7687528876232212,0.9610773654871112,-0.0533750029575975,0.4868058079423067,0.9571776199669187
A4hf_R,0.018691865148122152,0.8077147225967614,0.9610773654871112,0.034090336122079734,0.6570718447041741,0.9571776199669187
A6cdl_R,-0.06780474967121866,0.3768126620290363,0.9610773654871112,-0.054934976235296716,0.47414408884255516,0.9571776199669187
A4ul_R,0.043951301770008694,0.5669903805693655,0.9610773654871112,0.043843269322518794,0.5679447464068401,0.9571776199669187
A4t_R,0.007225744046027406,0.9250496113345942,0.9819566511642519,0.051075485857095704,0.5057954781122449,0.9571776199669187
A4tl_R,0.017221002786810338,0.8225852768695614,0.9610773654871112,-0.015813546647726065,0.836874247073252,0.9693292437985219
A6cvl_R,-0.043958378894441624,0.5669278873769453,0.9610773654871112,0.009034247059181062,0.9063675876213669,0.9717549079866951
3ll_R,-0.07561381130380382,0.32420824259622616,0.9610773654871112,-0.060614300829230236,0.4295983871934695,0.9571776199669187
A4ll_R,-0.05612159675318055,0.4646341551732214,0.9610773654871112,-0.05404660515509395,0.48133257810486657,0.9571776199669187
A38m_R,0.016140561790048816,0.8335493368821436,0.9624487188742277,0.029943956690427313,0.69658447989067,0.9571776199669187
42_R,0.009788842611488971,0.8985870986922653,0.9769364305569669,0.010519089533082733,0.891066844325329,0.9714432380205292
TE1.2_R,-0.07757000186793117,0.3118117474820694,0.9610773654871112,-0.13128476018134352,0.08604010422734243,0.8985659453285696
A22c_R,0.010536658759902518,0.8908860291410486,0.9769364305569669,-0.007457540173991875,0.9226526252181684,0.9720402561210167
A38l_R,-0.08991550869417783,0.24079191717629192,0.9610773654871112,-0.09255377562799809,0.22721112039312533,0.9251214856689762
A22r_R,-0.11586432217454656,0.13013537537848818,0.9610773654871112,-0.12330529374339,0.10707130855938282,0.8985659453285696
A21c_R,-0.057416710524407784,0.4543758941964561,0.9610773654871112,-0.074390882695759,0.3321174017514776,0.9571776199669187
A21r_R,0.04242146337175574,0.5805755192139868,0.9610773654871112,0.04308223286554547,0.5746892879873633,0.9571776199669187
A37dl_R,0.08562258995187325,0.2640825277471759,0.9610773654871112,0.0874790467298125,0.25382823175755537,0.9300403702084642
aSTS_R,-0.014247431004238496,0.8528367139279533,0.9648253733326341,-0.014095593635719371,0.8543875904869485,0.9693292437985219
A20iv_R,-0.2500956989878011,0.0009369692490103755,0.2054372150037693,-0.24562923625315053,0.0011629655674704673,0.2605042871133847
A37elv_R,-0.05527352134196707,0.47142012874009376,0.9610773654871112,-0.0853814939168134,0.2654347257558659,0.9300403702084642
A20r_R,-0.028726065009910824,0.7083530554689197,0.9610773654871112,-0.02390817619698028,0.755564269229439,0.9571776199669187
A20il_R,-0.06368951446579456,0.40652039498749504,0.9610773654871112,-0.08550648653342953,0.26473311014575956,0.9300403702084642
A37vl_R,-0.12743306158091885,0.09573711337885364,0.9605218676560692,-0.10358425520543782,0.17630199151684367,0.9251214856689762
A20cl_R,-0.042290536569746434,0.5817451479795743,0.9610773654871112,-0.01611714571527603,0.8337873213543617,0.9693292437985219
A20cv_R,-0.08573818298427785,0.26343589172488235,0.9610773654871112,-0.11276950463727996,0.14078441487844373,0.8985659453285696
A20rv_R,-0.06727160629727083,0.38058478254381733,0.9610773654871112,-0.04784049194205201,0.5331504224658642,0.9571776199669187
A37mv_R,0.026200694171466993,0.7329742169491626,0.9610773654871112,0.006878122036839793,0.9286456018299,0.9720402561210167
A37lv_R,0.005359742237210013,0.9443685287735762,0.9819566511642519,-0.020890322353348145,0.7856174696424959,0.9571776199669187
36r_R,-0.062160189824661066,0.41790425537423326,0.9610773654871112,-0.07644542071153132,0.3188999318025444,0.9571776199669187
36c_R,0.031254940537321946,0.6839968226354376,0.9610773654871112,0.023737875041837,0.7572509517437065,0.9571776199669187
TL_R,0.02605443359985299,0.7344088505626934,0.9610773654871112,0.027369502929870254,0.7215432369094656,0.9571776199669187
34_R,-0.02538682486167938,0.7409688653360054,0.9610773654871112,0.025581705313043122,0.7390519894166765,0.9571776199669187
TI_R,-0.038583302887626916,0.6153069484779905,0.9610773654871112,-0.036341651256828006,0.6360011115446255,0.9571776199669187
TH_R,-0.04182121060285234,0.5859467942589903,0.9610773654871112,-0.042062965136107786,0.5837807408093562,0.9571776199669187
rpSTS_R,-0.004350664810259345,0.954829868229683,0.9856308317209631,0.0010491266358973808,0.9891021610234805,0.997129266227248
cpSTS_R,-0.0650340554557243,0.39666520299803787,0.9610773654871112,-0.05575617885035887,0.4675514644681299,0.9571776199669187
A7r_R,0.05616170045830052,0.4643146001199546,0.9610773654871112,0.06072785749214646,0.42873300919411556,0.9571776199669187
A7c_R,-0.02165129544723344,0.7780074779291848,0.9610773654871112,0.0010520692195096553,0.9890715967270114,0.997129266227248
A5l_R,-0.09933805710290275,0.19479782502485046,0.9610773654871112,-0.09600026938142772,0.2102979482618082,0.9251214856689762
A7pc_R,-0.09892764221262342,0.19665763318217844,0.9610773654871112,-0.096453113696393,0.208144644395806,0.9251214856689762
A7ip_R,0.014538772626727689,0.849862515360123,0.9648253733326341,-0.013995183866071008,0.8554134890613877,0.9693292437985219
A39c_R,0.08526401564727117,0.26609531763300515,0.9610773654871112,0.06207049777588928,0.418577624730605,0.9571776199669187
A39rd_R,0.15408433267461608,0.043577702365272114,0.9045130346121473,0.13047185153805899,0.08801832332669113,0.8985659453285696
A40rd_R,-0.0762005782901581,0.3204569136852025,0.9610773654871112,-0.04900574618672732,0.5232123168216667,0.9571776199669187
A40c_R,-0.037429753673298025,0.6259196151882618,0.9610773654871112,-0.01998927585837114,0.7946545149152411,0.9571776199669187
A39rv_R,-0.009380728435856345,0.9027939335950542,0.9769364305569669,-0.03212193043299356,0.6757195511791979,0.9571776199669187
A40rv_R,-0.022415612120585182,0.7703852340259296,0.9610773654871112,-0.05051832694655967,0.5104540259668505,0.9571776199669187
A7m_R,0.055704046411637335,0.4679684817455423,0.9610773654871112,0.04754492720721381,0.5356861635548368,0.9571776199669187
A5m_R,0.02445854204022597,0.7501213103793174,0.9610773654871112,0.0334984090289145,0.6626579128193419,0.9571776199669187
dmPOS_R,-0.03797584970713326,0.6208857696973924,0.9610773654871112,-0.05283183429934678,0.4912566282722615,0.9571776199669187
A31_R,-0.03230235495339644,0.6740018466410302,0.9610773654871112,-0.03134317125415602,0.6831527292979631,0.9571776199669187
3ulhf_R,0.15129948421025588,0.04756597830163933,0.9045130346121473,0.15989721495646297,0.03614955613568135,0.8985659453285696
3tonIa_R,-0.03999754825347524,0.6024040910435584,0.9610773654871112,-0.0070052827203332235,0.9273300113737428,0.9720402561210167
A2_R,0.15552334797597972,0.04162905700209002,0.9045130346121473,0.15199868446811696,0.046537084329064664,0.8985659453285696
3tru_R,0.11795280273045541,0.12330679404132303,0.9610773654871112,0.08903719716507273,0.24543636836182517,0.9300403702084642
G_R,-0.10314508191427811,0.17815251933397577,0.9610773654871112,-0.11310316079236094,0.1396053578522969,0.8985659453285696
vIa_R,0.07288140693111123,0.34204865992584066,0.9610773654871112,0.08885117652681498,0.24642797126865318,0.9300403702084642
dIa_R,-0.03031075205683598,0.6930540930069381,0.9610773654871112,-0.04167199342428607,0.5872855807282361,0.9571776199669187
vIg_R,-0.03286087739770102,0.6686952193932953,0.9610773654871112,-0.021382860374634466,0.7806895533220434,0.9571776199669187
dIg_R,0.0011736231351285127,0.9878090438170879,0.9967082243920166,-0.0607713882945972,0.4284015418743395,0.9571776199669187
dId_R,0.048915904559713126,0.5239751827462169,0.9610773654871112,-0.0010076620364023597,0.9895328509809652,0.997129266227248
A23d_R,0.06152144269551053,0.42271346963751333,0.9610773654871112,0.02801550516387507,0.7152514807911332,0.9571776199669187
A24rv_R,-0.020068389514612112,0.7938599306492162,0.9610773654871112,0.001139259931662812,0.9881659636735861,0.997129266227248
A32p_R,-0.023951952004752985,0.7551308946656887,0.9610773654871112,-0.03619245917003812,0.6373886880012941,0.9571776199669187
A23v_R,0.06804301286046081,0.37513430703122985,0.9610773654871112,0.04008616648578759,0.6015996196968796,0.9571776199669187
A24cd_R,-0.02811505633057611,0.7142835898018773,0.9610773654871112,-0.04725216812992517,0.5382037559836138,0.9571776199669187
A23c_R,-0.10778578463435037,0.1593108342938215,0.9610773654871112,-0.13751700082529655,0.0720307144161247,0.8985659453285696
A32sg_R,-0.04829019727922535,0.5293038369255361,0.9610773654871112,-0.05603623618396272,0.4653147303663603,0.9571776199669187
cLinG_R,-0.1370638484134056,0.07298262385123039,0.9334118138023336,-0.12633876797375393,0.0986447855936145,0.8985659453285696
rCunG_R,0.02971629077444341,0.6987790396208723,0.9610773654871112,-0.003042066948605454,0.9684076375377232,0.997129266227248
