,0
A8m_R,-0.5141158366438356
A8dl_R,-0.28899744347031964
A9l_R,-0.26401408287214606
A6dl_R,-0.367412782543379
A6m_R,-0.5577794782511415
A9m_R,-0.3863135322328767
A10m_R,-0.12303568234246572
46d_R,-0.2407497321278539
IFJ_R,-0.40086408657077616
A46_R,-0.10147947491324201
46v_R,-0.18420273792694064
A8vl_R,-0.46844031780821915
A6vl_R,-0.4663340674931507
A10l_R,0.07943622044292237
A44d_R,-0.09993631388127858
IFS_R,-0.10597661029680366
A45c_R,-0.26976034930593606
A45r_R,-0.07659711743378994
A44op_R,-0.17481058743378994
A44v_R,-0.18892248348858448
A14m_R,-0.16416250922374429
47o_R,-0.3131237017351598
A11l_R,-0.39685568759817347
A11m_R,-0.07269052259360731
A13_R,-0.24081640167123292
47l_R,-0.31230828962100465
A4hf_R,-0.7453421691598174
A6cdl_R,-0.49177199136529676
A4ul_R,-0.5695430093926942
A4t_R,-0.5446300138812785
A4tl_R,-0.5902518018401824
A6cvl_R,-0.40682301034246576
3ll_R,-0.5109669518630137
A4ll_R,-0.6355402187716894
A38m_R,-0.5091919268949772
42_R,-0.4846305786164384
TE1.2_R,-0.5587829190182648
A22c_R,-0.6100410639497718
A38l_R,-0.4679103382237442
A22r_R,-0.2050089226575343
A21c_R,-0.2997428002876712
A21r_R,-0.47122328373515987
A37dl_R,-0.194900968543379
aSTS_R,-0.33308785266210045
A20iv_R,-0.24945360255251142
A37elv_R,-0.15381568345662103
A20r_R,-0.24951107223287672
A20il_R,-0.3945702305844749
A37vl_R,-0.24346266569863015
A20cl_R,-0.22675819784474885
A20cv_R,-0.3022418129223744
A20rv_R,-0.2506093068538813
A37mv_R,-0.3670610916849315
A37lv_R,-0.4546070557945206
36r_R,-0.23652648502283108
36c_R,-0.38329828016894973
TL_R,-0.27182716797260276
34_R,-0.14415024321004566
TI_R,-0.23521377208219177
TH_R,-0.3691398626347032
rpSTS_R,-0.19325444543835613
cpSTS_R,-0.2948408408584475
A7r_R,-0.39552834617808225
A7c_R,-0.4427070610958903
A5l_R,-0.1545321422648402
A7pc_R,-0.3601254420365297
A7ip_R,-0.2790191112694064
A39c_R,-0.34240914014155255
A39rd_R,-0.4535305653835617
A40rd_R,-0.40447304746575347
A40c_R,-0.4513752791598174
A39rv_R,-0.3072771358538813
A40rv_R,-0.44876342986757994
A7m_R,-0.4862789963744292
A5m_R,-0.5551016417123288
dmPOS_R,-0.6078954577899544
A31_R,-0.554973711936073
3ulhf_R,-0.5729870771735159
3tonIa_R,-0.6056449417534246
A2_R,-0.49931563972146115
3tru_R,-0.37620221673972604
G_R,-0.2784317185159817
vIa_R,-0.34992893247945206
dIa_R,-0.31962618930136993
vIg_R,-0.4880809607123288
dIg_R,-0.4675923739817352
dId_R,-0.5098677130136986
A23d_R,-0.4102694489634703
A24rv_R,-0.18525987394977167
A32p_R,-0.05719981987671234
A23v_R,-0.265969918173516
A24cd_R,-0.4051326318767123
A23c_R,-0.493102945260274
A32sg_R,-0.09499425230593608
cLinG_R,-0.21822283276255705
rCunG_R,-0.35035740581278546
cCunG_R,-0.269292211739726
rLinG_R,-0.4657174034429224
vmPOS_R,-0.29608350893607305
mOccG_R,-0.43058618738356164
MT+_R,-0.39436294092237445
OPC_R,-0.37440127323744293
iOccG_R,-0.3664007216894977
msOccG_R,-0.5248925268584475
lsOccG_R,-0.4441902451826484
A8m_L,-0.6250804080502284
A8dl_L,-0.29451827183105017
A9l_L,-0.280588374479452
A6dl_L,-0.45205995226940643
A6m_L,-0.7901257004657534
A9m_L,-0.4419493038995434
A10m_L,-0.18549341985844747
46d_L,-0.23890707368036523
IFJ_L,-0.3622433190273972
A46_L,-0.19129971494063924
46v_L,-0.18955753284018265
A8vl_L,-0.2416763284748859
A6vl_L,-0.3349453149132419
A10l_L,-0.1293812786757991
A44d_L,-0.13766331666666665
IFS_L,-0.1648612503972603
A45c_L,-0.14201503816438357
A45r_L,-0.28525122539269404
A44op_L,-0.15648756187214613
A44v_L,-0.24210568716438355
A14m_L,-0.09651431300913241
47o_L,-0.4309977874474886
A11l_L,-0.5091215450136987
A11m_L,0.12774640677625568
A13_L,-0.39362998478538813
47l_L,-0.36547791847488587
A4hf_L,-0.7608604778630136
A6cdl_L,-0.4808089414520548
A4ul_L,-0.5868495957397261
A4t_L,-0.6374791876210046
A4tl_L,-0.41831323221917815
A6cvl_L,-0.5176560991187215
3ll_L,-0.6469290819589041
A4ll_L,-0.7409215153652969
A38m_L,-0.32196604165753423
42_L,-0.40243702569863016
TE1.2_L,-0.5100281545251142
A22c_L,-0.4815888010228311
A38l_L,-0.424816953196347
A22r_L,-0.32712610342922377
A21c_L,-0.2299863962694064
A21r_L,-0.2518192139817352
A37dl_L,-0.23904571160273974
aSTS_L,-0.453162969803653
A20iv_L,-0.2252999113652968
A37elv_L,-0.11468345150228312
A20r_L,-0.17375500259360727
A20il_L,-0.16964571089041094
A37vl_L,-0.22885066872602738
A20cl_L,-0.04724781094063924
A20cv_L,-0.37415576366210046
A20rv_L,-0.32650092196347036
A37mv_L,-0.39162038437442925
A37lv_L,-0.2715898436712329
36r_L,-0.2060497997214612
36c_L,-0.3360857545296803
TL_L,-0.34233484899543376
34_L,-0.23923151996347033
TI_L,0.07868059365753428
TH_L,-0.29338002267123287
rpSTS_L,-0.2666480933378995
cpSTS_L,-0.2850670849360731
A7r_L,-0.44425385047031957
A7c_L,-0.49087426749315066
A5l_L,-0.2289392510365297
A7pc_L,-0.5119339135388127
A7ip_L,-0.5029363937853881
A39c_L,-0.45784058553424656
A39rd_L,-0.4681058878082192
A40rd_L,-0.3831597348584475
A40c_L,-0.39270701669406394
A39rv_L,-0.446598924826484
A40rv_L,-0.2626350537808219
A7m_L,-0.49924973005936074
A5m_L,-0.5704416443789954
dmPOS_L,-0.5058320551917808
A31_L,-0.49113579117351597
3ulhf_L,-0.6165736174155251
3tonIa_L,-0.635908027502283
A2_L,-0.47690848307762557
3tru_L,-0.6376485213105023
G_L,-0.18737690422831052
vIa_L,-0.4574092062922375
dIa_L,-0.2853236110547945
vIg_L,-0.4699509632237442
dIg_L,-0.5438206332465754
dId_L,-0.42981135276255705
A23d_L,-0.530001191063927
A24rv_L,-0.16959283709589043
A32p_L,-0.22065028540639273
A23v_L,-0.30984115948401825
A24cd_L,-0.3077185966757991
A23c_L,-0.5575982066164383
A32sg_L,-0.25858764051141553
cLinG_L,-0.20598417399086755
rCunG_L,-0.36833716622374424
cCunG_L,-0.19682639489954337
rLinG_L,-0.3299826442420091
vmPOS_L,-0.3391799983789955
mOccG_L,-0.33374559068949766
MT+_L,-0.40896583743378995
OPC_L,-0.46114939423287676
iOccG_L,-0.35970177566666667
msOccG_L,-0.4381602978584474
lsOccG_L,-0.4851276088082192
Left-Thalamus-Proper,-0.28027408003652965
Left-Caudate,-0.1746075958812785
Left-Putamen,-0.3099357171004566
Left-Pallidum,-0.3073348048584475
Left-Hippocampus,-0.2253930423013699
Left-Amygdala,-0.3376311962648402
Left-Accumbens-area,-0.24152733651598177
Right-Thalamus-Proper,-0.330496261630137
Right-Caudate,-0.23103799214155252
Right-Putamen,-0.2990196607853881
Right-Pallidum,-0.3322710616803653
Right-Hippocampus,-0.21535628496347034
Right-Amygdala,-0.18348569671689496
Right-Accumbens-area,-0.26191385442009135
