region,cohen_d,pvalue-s,fdr-pvalue-s
A8m_R,0.08689476431666163,0.27192465625943685,0.5145651187678574
A8dl_R,0.05842197217565666,0.4600082212484896,0.6858304389522936
A9l_R,0.024386714892764685,0.7577332279871901,0.8751285168302759
A6dl_R,0.04026488584945562,0.6105667242757562,0.8163011639773697
A6m_R,0.1297689541887495,0.10104682080040657,0.269396854496304
A9m_R,-0.0958816342745485,0.22545665664453704,0.4629364408948356
A10m_R,-0.17312308541520288,0.02882180121905256,0.11436953539584455
46d_R,0.015534794934478598,0.8442202126598127,0.8969882039085085
IFJ_R,0.09690500189516266,0.22054938041012992,0.45978938627874544
A46_R,-0.07166169116037141,0.36484295618492013,0.598342448143269
46v_R,-0.14223101813304462,0.07235009582677517,0.20938968909866695
A8vl_R,0.04671798910126475,0.554612448299695,0.7664868667512639
A6vl_R,0.13237503033864237,0.09439379054855952,0.2580096941660627
A10l_R,-0.18032222105760934,0.022818029079469133,0.10205882097362558
A44d_R,-0.10646744885892652,0.17836722138430874,0.39889396782309045
IFS_R,-0.14715794750776373,0.06302778109562397,0.198779924993891
A45c_R,-0.1953985833799102,0.013664526670332886,0.07307551219351935
A45r_R,-0.17163559304686182,0.030219592685893883,0.11436953539584455
A44op_R,-0.17166686831878936,0.03018961309154029,0.11436953539584455
A44v_R,-0.03850661031087152,0.6262368609372904,0.8188861194685786
A14m_R,-0.0680920029999755,0.3892039099138447,0.6308889396233042
47o_R,-0.09130116995574153,0.2483778768959157,0.4849282358444068
A11l_R,-0.18505249321286882,0.01949419122527497,0.09222252002726235
A11m_R,-0.07647029544818935,0.3335741208085633,0.5789647692122547
A13_R,-0.014993069734248006,0.8495863882548068,0.8969882039085085
47l_R,-0.04687657312411996,0.5532696228810348,0.7664868667512639
A4hf_R,0.28009634382254583,0.00042124326409564245,0.007695961772531232
A6cdl_R,0.2699960746976335,0.0006729663866694746,0.009738219477687693
A4ul_R,0.19361593594696075,0.014542853559502515,0.07611791437526848
A4t_R,0.29802226947221655,0.00017698261293464868,0.00612482086917493
A4tl_R,0.019296051580579367,0.8071749705483712,0.8864510837272291
A6cvl_R,0.13293131527736599,0.09302026463184737,0.25711219212847697
3ll_R,0.11229109955325335,0.15581024745469693,0.36159736673448534
A4ll_R,0.2410560598753174,0.0023771420809643898,0.02165840562656444
A38m_R,0.03737767641632465,0.6363886842798552,0.8196419703290282
42_R,0.10336311500388445,0.19134511618121927,0.4202758801837495
TE1.2_R,0.09191532626219807,0.24521307971545164,0.4849282358444068
A22c_R,-0.04247946345484269,0.5910822249271018,0.8033493222766136
A38l_R,-0.20573045097619053,0.00943954163445804,0.05954172415581225
A22r_R,-0.2779289627647363,0.00046636258894578055,0.007695961772531232
A21c_R,-0.1678518374775595,0.03404092586948404,0.1268798146044405
A21r_R,-0.08527526737163457,0.2809519776069508,0.525727174482794
A37dl_R,-0.27964540216681244,0.0004302799522272563,0.007695961772531232
aSTS_R,-0.08362642213852937,0.29035020032855907,0.5330309647822801
A20iv_R,0.038179066732982624,0.6291750734446666,0.8188861194685786
A37elv_R,-0.2468070293275155,0.0018675203218432568,0.020025094622151973
A20r_R,0.08458156965558951,0.28488044594618817,0.5269217270884382
A20il_R,0.09014382035134777,0.2544193786315967,0.49281233971159677
A37vl_R,-0.1319530738882559,0.09544647430332512,0.2580201393254723
A20cl_R,-0.3266965437290289,4.021646505478717e-05,0.0024733126008694107
A20cv_R,-0.10733923179326045,0.17484350941561433,0.39460094785542316
A20rv_R,0.03617035954603733,0.6473215622144688,0.8249762216278526
A37mv_R,-0.007487582277034065,0.9245445258672237,0.9476581390139043
A37lv_R,-0.02467188059756157,0.7549907304719701,0.8751285168302759
36r_R,0.050711030943769636,0.5212957145658121,0.7395065511970567
36c_R,0.21329413798785898,0.0071316471909191525,0.04873292247128088
TL_R,0.010368405082058912,0.8956565786433901,0.9296688537817467
34_R,-0.05499799342675848,0.4867118027085544,0.70430060862532
TI_R,0.124331966967923,0.11613004438697794,0.2995440430119003
TH_R,0.2170795954745029,0.0061791553769063295,0.04470800655055756
rpSTS_R,-0.17920755954872886,0.02366961583999124,0.1039772410113901
cpSTS_R,-0.24361980478462697,0.002135959420786739,0.020209462212059146
A7r_R,0.03681394773643324,0.6414838519049944,0.8219011852532739
A7c_R,0.29323704946003964,0.0002240788122868877,0.00612482086917493
A5l_R,0.03274904884278282,0.6787136692121176,0.838395084488779
A7pc_R,0.12042704041383624,0.1280176312400531,0.3118053196539907
A7ip_R,-0.02043370486872821,0.7960508578202505,0.8821104100170344
A39c_R,-0.05453310727895316,0.4904010977533366,0.705489298522344
A39rd_R,0.07756122009001465,0.3267287346159766,0.5789647692122547
A40rd_R,0.12365947911735423,0.11811289500875743,0.2995440430119003
A40c_R,0.05049570864792087,0.523065609383284,0.7395065511970567
A39rv_R,-0.24574063563838774,0.0019536677680148267,0.020025094622151973
A40rv_R,0.19739747860525483,0.012735792975549708,0.07108715587667709
A7m_R,0.3033072193551261,0.00013586904792847819,0.005570630965067606
A5m_R,0.20050498060254443,0.011402950043761894,0.07012814276913565
dmPOS_R,0.12080742958626672,0.12681949385725078,0.3118053196539907
A31_R,0.2777963045644798,0.00046926596173970926,0.007695961772531232
3ulhf_R,0.14490309894078504,0.06716280910675515,0.19906085590676828
3tonIa_R,0.17681991642406977,0.02558721139342664,0.11042901759268339
A2_R,0.19194597142739359,0.015410543012616705,0.0789790329396606
3tru_R,0.06373903942007955,0.4202174218991289,0.6460842861699108
G_R,0.04102621671622956,0.6038361012598931,0.811714103332971
vIa_R,0.12201804046632733,0.12306451588988084,0.30891705009092535
dIa_R,-0.008902816071025112,0.9103381506956943,0.9370007743562376
vIg_R,0.14560042628582487,0.06586076849769756,0.19906085590676828
dIg_R,0.024933813194297123,0.7524743941511098,0.8751285168302759
dId_R,-0.06719135980197728,0.3955035448731056,0.6317783898622336
A23d_R,0.0724000096610514,0.3599261356779023,0.598342448143269
A24rv_R,-0.17166642152305772,0.03019004119691891,0.11436953539584455
A32p_R,0.029552931688794748,0.7085544731060804,0.8544333352161558
A23v_R,0.027761992131716637,0.7254774866368046,0.8632472729122481
A24cd_R,-0.014602410957475323,0.8534604969766573,0.8972277019498193
A23c_R,-0.0480242304991372,0.5435995963632035,0.7641457183162746
A32sg_R,0.00021680189259336212,0.9978119258980486,0.9978119258980486
cLinG_R,0.1179504642174332,0.13603514381761692,0.32808475861895847
rCunG_R,0.12043202714186259,0.12800186734209745,0.3118053196539907
cCunG_R,0.07843362747159582,0.3213208002353882,0.5789647692122547
rLinG_R,0.1867062856464914,0.018436504996766908,0.08892902410205215
vmPOS_R,0.017572455896785417,0.8241025165155481,0.8969882039085085
mOccG_R,0.19749717804768388,0.012690972389901911,0.07108715587667709
MT+_R,-0.07519218387681964,0.3417111789898444,0.5878388114091029
OPC_R,0.11442667996985716,0.1481056365993828,0.3503267942639247
iOccG_R,0.034862406203231285,0.6592523650604727,0.8249762216278526
msOccG_R,0.06534055476764432,0.4086415356251144,0.641264643493586
lsOccG_R,0.03976419942089536,0.6150111943490315,0.8177986692424959
A8m_L,0.12946554209306024,0.10184515230957836,0.269396854496304
A8dl_L,-0.023643571642729976,0.7648944848828886,0.876848040938743
A9l_L,-0.07279488028378335,0.35731369937978996,0.598342448143269
A6dl_L,0.15280354103392033,0.053592163950493106,0.1793604085496342
A6m_L,0.2638027733072179,0.0008905015554812621,0.01152965171833634
A9m_L,-0.015358892339502139,0.8459618720479664,0.8969882039085085
A10m_L,-0.15257233538464848,0.05395394403525582,0.1793604085496342
46d_L,0.033219638785948226,0.6743609413815095,0.8378423817164208
IFJ_L,-0.03243526376783379,0.6816220199095764,0.838395084488779
A46_L,-0.055667948389434,0.48142164959138156,0.70430060862532
46v_L,-0.03781220128572974,0.6324730191017477,0.8188861194685786
A8vl_L,-0.015466116450899296,0.8449001266507394,0.8969882039085085
A6vl_L,0.024673161498223867,0.7549784187368582,0.8751285168302759
A10l_L,0.01533316255652487,0.8462166930868276,0.8969882039085085
A44d_L,-0.022624555120623408,0.7747469073669859,0.876848040938743
IFS_L,-0.019582953442894777,0.8043658249306445,0.8864510837272291
A45c_L,-0.14541735125821442,0.06620056871981955,0.19906085590676828
A45r_L,0.03182447248904091,0.6872967899705773,0.841169205635632
A44op_L,-0.25973486498980247,0.0010671901433889413,0.013126438763683978
A44v_L,-0.04572265353602227,0.5630768376898644,0.7695383448428147
A14m_L,-0.19052677899862552,0.016183507491293853,0.0812478131195569
47o_L,-0.1018015101567795,0.19813095706204745,0.4311543829491831
A11l_L,-0.047504873273832675,0.5479651820444217,0.765905879448453
A11m_L,-0.5033175245758506,3.552509388758269e-10,8.739173096345341e-08
A13_L,-0.15094667107553905,0.05655581205885302,0.18306223376944528
47l_L,-0.06137850149446884,0.43762705925606826,0.660467831760692
A4hf_L,0.36172518450327235,5.623692825434948e-06,0.000531264995094784
A6cdl_L,0.27812733613973173,0.000462052290208702,0.007695961772531232
A4ul_L,0.2748156895903308,0.0005391289869042065,0.008289108173652174
A4t_L,0.2954027275794851,0.00020146515804680154,0.00612482086917493
A4tl_L,0.03832896307904626,0.6278297020807111,0.8188861194685786
A6cvl_L,0.24370012006934116,0.0021287805898469484,0.020209462212059146
3ll_L,0.15164351446477578,0.05542797389706421,0.18180375438237062
A4ll_L,0.28591458646129875,0.0003195000403370544,0.007695961772531232
A38m_L,-0.02757771039100186,0.7272266236161797,0.8632472729122481
42_L,-0.09133714322181631,0.24819171781113578,0.4849282358444068
TE1.2_L,0.05523639389318574,0.4848257249243867,0.70430060862532
A22c_L,0.1238560644451155,0.11753052337754537,0.2995440430119003
A38l_L,-0.21137019863504583,0.007664704114875657,0.05095992465565977
A22r_L,-0.02165314419622044,0.7841730447419653,0.876848040938743
A21c_L,-0.15715504714531464,0.047152976163016475,0.16337510050847961
A21r_L,-0.2201387432479653,0.005495020238879745,0.040962878144376276
A37dl_L,-0.09823541759592222,0.21428516854249077,0.4505483030893396
aSTS_L,-0.0673340747462332,0.39450121435523466,0.6317783898622336
A20iv_L,-0.09489833917900871,0.23024492197504245,0.4629364408948356
A37elv_L,-0.32057684026668404,5.571630862545748e-05,0.002741242384372508
A20r_L,-0.16141554881663675,0.04149301144216162,0.1479316060111849
A20il_L,-0.22905384732951856,0.003874082288602769,0.03176747476654271
A37vl_L,-0.05952413593855033,0.45159057914608935,0.6773858687191341
A20cl_L,-0.23940936713558975,0.002544975278151802,0.022359425658047976
A20cv_L,-0.02209231476174449,0.7799075067819778,0.876848040938743
A20rv_L,0.027296330121951606,0.729900133194096,0.8632472729122481
A37mv_L,-0.08889634148042144,0.26104529068813304,0.5016964180412556
A37lv_L,-0.1527393068187859,0.053692470478442306,0.1793604085496342
36r_L,-0.10142271596336011,0.1998032506349873,0.4311543829491831
36c_L,0.06626745562433749,0.4020296400738692,0.6380599448914311
TL_L,0.04154633280881196,0.5992572606527603,0.80998508857461
34_L,-0.050526491599968595,0.522812392021017,0.7395065511970567
TI_L,-0.22692431256229087,0.0042157500026813125,0.03339043974649682
TH_L,0.034709632111079164,0.6606516896775892,0.8249762216278526
rpSTS_L,0.04605092085053678,0.5602783419754156,0.7695383448428147
cpSTS_L,-0.09487108258695658,0.23037867547015084,0.4629364408948356
A7r_L,0.11578031895832301,0.14337528038695366,0.3424302813125301
A7c_L,0.25581565677473406,0.0012676754867226915,0.014849912844465813
A5l_L,-0.03060608333412743,0.698669282245976,0.8466632681404439
A7pc_L,0.1744873225938787,0.027589239308603852,0.11436953539584455
A7ip_L,0.35930321416772587,6.478841403594926e-06,0.000531264995094784
A39c_L,0.0631532671692299,0.42449919158358085,0.6486136716121795
A39rd_L,0.1494462030986709,0.05904939045794809,0.18865129938513286
A40rd_L,-0.02271234052257442,0.7738966911851142,0.876848040938743
A40c_L,-0.06218900893808045,0.4316029397055614,0.6553970565899265
A39rv_L,0.00914491400975194,0.9079106749304522,0.9370007743562376
A40rv_L,-0.17348753313018625,0.028487964742961763,0.11436953539584455
A7m_L,0.16273469055529566,0.03986193516348485,0.14420641250319519
A5m_L,0.20833817833580234,0.008577660803462036,0.055529067306622645
dmPOS_L,0.07427154844711001,0.34765057781419717,0.5939030704325868
A31_L,0.07977265330058386,0.3131349985140991,0.5706015528479138
3ulhf_L,0.18079126395117415,0.02246773898300517,0.10205882097362558
3tonIa_L,0.13338776623660767,0.09190528734589619,0.2569170532623916
A2_L,0.10507132697006633,0.18412020178660263,0.4080501769324707
3tru_L,0.24581455443247,0.0019475803615290445,0.020025094622151973
G_L,-0.22616839594893454,0.0043434718369426755,0.03339043974649682
vIa_L,0.006604721461328392,0.9334193685772059,0.9527849156431231
dIa_L,-0.003918231913986493,0.9604713968259428,0.9723290683916952
vIg_L,-0.02179430952665685,0.7828012306013046,0.876848040938743
dIg_L,-0.12498259272790639,0.11423669909090248,0.2989598720889575
dId_L,-0.06512615922919952,0.41018008104227976,0.641264643493586
A23d_L,0.024814523500616338,0.7536200623189545,0.8751285168302759
A24rv_L,0.02889452885991352,0.7147596526269631,0.8577115831523556
A32p_L,-0.03472699901202243,0.6604925586170279,0.8249762216278526
A23v_L,-0.08834033441837608,0.2640366919351509,0.5035118311321481
A24cd_L,-0.020553268520760483,0.7948841159753856,0.8821104100170344
A23c_L,0.016480453613468376,0.8348702731482827,0.8969882039085085
A32sg_L,-0.031394804882897455,0.6912993964062337,0.8418794629501658
cLinG_L,-0.03504008962945897,0.6576263875202465,0.8249762216278526
rCunG_L,0.07198493052584316,0.3626851949377625,0.598342448143269
cCunG_L,0.06800388343907762,0.38981755619000913,0.6308889396233042
rLinG_L,0.06453005661447306,0.4144759281117081,0.641264643493586
vmPOS_L,0.0646696457878829,0.4134675868554898,0.641264643493586
mOccG_L,-0.010932773026970684,0.8900122672568763,0.9277246514626761
MT+_L,0.0027355428227169233,0.9723970075031945,0.9803674747778108
OPC_L,-0.0041996465164337495,0.9576349658922545,0.9723290683916952
iOccG_L,0.07685423703083324,0.3311544434121011,0.5789647692122547
msOccG_L,0.11050374024186287,0.16248978794964683,0.3735746526692815
lsOccG_L,0.176135857227938,0.026160847302612318,0.11095807649039018
mAmyg_L,-0.07707955121316448,0.32973977870194426,0.5789647692122547
mAmyg_R,-0.02177607562713687,0.7829783857268833,0.876848040938743
lAmyg_L,-0.09932447876545805,0.209253889370128,0.44376255849182317
lAmyg_R,-0.16713932126504868,0.034805050350132066,0.12779167740496253
rHipp_L,-0.1594592279393806,0.04401602342168325,0.15468488231048685
rHipp_R,-0.19821504776909835,0.012372359402969033,0.07108715587667709
cHipp_L,-0.01127985885534448,0.8865437743046718,0.9277246514626761
cHipp_R,-0.14531166460479228,0.06639738885726568,0.19906085590676828
vCa_L,-0.19680784704526255,0.013003748026221418,0.07108715587667709
vCa_R,-0.14500510730515673,0.06697102474891789,0.19906085590676828
GP_L,-0.07729742541246411,0.3283755631954861,0.5789647692122547
GP_R,-0.09464947146357451,0.2314682204474178,0.4629364408948356
NAC_L,0.0016384797546001408,0.9834648011662775,0.9874789432118541
NAC_R,-0.08507231001786168,0.2820975082590602,0.525727174482794
vmPu_L,0.09992239792030311,0.20652834304975523,0.44179106426295467
vmPu_R,0.09466872117604049,0.23137343454790998,0.4629364408948356
dCa_L,-0.17204708180229747,0.029827194862224134,0.11436953539584455
dCa_R,-0.1346518223929967,0.08887365499552091,0.25129792102181775
dlPu_L,-0.19848831109136414,0.01225295526629836,0.07108715587667709
dlPu_R,-0.05760336708984846,0.46631675587553567,0.6910477225625408
mPFtha_L,-0.07178351848207659,0.3640287645352497,0.598342448143269
mPFtha_R,0.018132991479998566,0.818588045897706,0.8949895968481585
mPMtha_L,0.10803210403639206,0.17208029323333124,0.3919606679203656
mPMtha_R,-0.038211957586587214,0.6288797608212767,0.8188861194685786
Stha_L,-0.18827126614640557,0.017482322142131138,0.0860130249392852
Stha_R,-0.07637140809463108,0.33419917572414704,0.5789647692122547
rTtha_L,-0.1372895973784094,0.0828074497717926,0.23686782144024393
rTtha_R,0.05720163364748911,0.4694302137963866,0.691496003556354
PPtha_L,-0.2657701983420039,0.0008151730007529848,0.011140697676957459
PPtha_R,-0.11401102719771167,0.14958188095988523,0.35044897824887394
Otha_L,-0.23664725077822304,0.0028510531219312347,0.024184795448106335
Otha_R,-0.183097954464997,0.020812403461062307,0.09660096700794957
cTtha_L,-0.21370331878896928,0.007022673009430498,0.04873292247128088
cTtha_R,0.015560283818215458,0.8439679033900164,0.8969882039085085
lPFtha_L,-0.07188644056687264,0.36334180767460245,0.598342448143269
lPFtha_R,-0.1442594012243305,0.06838349069609183,0.20026593703855464
