,0
A8m_R,-0.5140340111026787
A8dl_R,-0.2582626191875
A9l_R,-0.15712459609375
A6dl_R,-0.4134946144553571
A6m_R,-0.5573282516651786
A9m_R,-0.3367099675
A10m_R,-0.08859898334821427
46d_R,-0.15781214220982148
IFJ_R,-0.3141263454285714
A46_R,-0.028713305611607152
46v_R,-0.09037388326339289
A8vl_R,-0.39659658688839283
A6vl_R,-0.49690545377232137
A10l_R,0.09539725183035719
A44d_R,-0.19075742885714284
IFS_R,-0.09766187111160714
A45c_R,-0.19328466803571429
A45r_R,-0.18294622064732144
A44op_R,-0.2312580870044643
A44v_R,-0.25247315744196425
A14m_R,-0.18400620322321432
47o_R,-0.27435617095535714
A11l_R,-0.45186334654464283
A11m_R,-0.03846428904464288
A13_R,-0.27964073073214285
47l_R,-0.31437655394196423
A4hf_R,-0.6515944039732142
A6cdl_R,-0.5627429996607142
A4ul_R,-0.6007868806205358
A4t_R,-0.6289749168750001
A4tl_R,-0.5343939513080357
A6cvl_R,-0.3852946120714286
3ll_R,-0.5063905473303572
A4ll_R,-0.7040044849955357
A38m_R,-0.5205084117410713
42_R,-0.5390126657142857
TE1.2_R,-0.6161317465357143
A22c_R,-0.5546552369910714
A38l_R,-0.45873943836160713
A22r_R,-0.0797391563169643
A21c_R,-0.3502854630669643
A21r_R,-0.48118183503125006
A37dl_R,-0.23067543944196428
aSTS_R,-0.33397072747321427
A20iv_R,-0.3528397686785714
A37elv_R,-0.16468161282589286
A20r_R,-0.30711972780803576
A20il_R,-0.3955339755625
A37vl_R,-0.30037706178125
A20cl_R,-0.18955276290624998
A20cv_R,-0.29315620386607144
A20rv_R,-0.3490418364642857
A37mv_R,-0.40929221368303575
A37lv_R,-0.5774943279866072
36r_R,-0.37039171133035714
36c_R,-0.47137008235714284
TL_R,-0.30215194688839286
34_R,-0.06949411401339287
TI_R,-0.26830986512053573
TH_R,-0.2870070274464286
rpSTS_R,-0.22147796364732145
cpSTS_R,-0.31343660376785715
A7r_R,-0.2972293103214286
A7c_R,-0.40617847068749996
A5l_R,-0.22906766598660713
A7pc_R,-0.3675848572544642
A7ip_R,-0.3972046707455357
A39c_R,-0.4144071573303571
A39rd_R,-0.48493524553571427
A40rd_R,-0.44953304552678575
A40c_R,-0.3801095370223214
A39rv_R,-0.3241942517767858
A40rv_R,-0.5280177385625
A7m_R,-0.5465073365535714
A5m_R,-0.6045984839508929
dmPOS_R,-0.58991957934375
A31_R,-0.6602208891294642
3ulhf_R,-0.572038239642857
3tonIa_R,-0.6473649437366072
A2_R,-0.5400055753616072
3tru_R,-0.24689048918303572
G_R,-0.4145117186919643
vIa_R,-0.4621013861428572
dIa_R,-0.4150960049196429
vIg_R,-0.6237397093348215
dIg_R,-0.46533540464285716
dId_R,-0.5273448764821429
A23d_R,-0.5214753711696429
A24rv_R,-0.14066677901785712
A32p_R,-0.008149602178571433
A23v_R,-0.2877415399776786
A24cd_R,-0.29776445674107144
A23c_R,-0.5418690265580357
A32sg_R,-0.09433431965178572
cLinG_R,-0.3986825085178572
rCunG_R,-0.3819299047008929
cCunG_R,-0.29820279610714284
rLinG_R,-0.46291857875446435
vmPOS_R,-0.27307176058482147
mOccG_R,-0.4235052832232143
MT+_R,-0.4030746963080358
OPC_R,-0.4914091430446429
iOccG_R,-0.408095796892857
msOccG_R,-0.4896509741607143
lsOccG_R,-0.4705968207723214
A8m_L,-0.6306480922142857
A8dl_L,-0.3524494897991071
A9l_L,-0.23620439841964286
A6dl_L,-0.4399843617455357
A6m_L,-0.7285350617053571
A9m_L,-0.43830593926785716
A10m_L,-0.1659152027857143
46d_L,-0.16224169689732143
IFJ_L,-0.30255766468303574
A46_L,-0.10615773562053575
46v_L,-0.15298290808482143
A8vl_L,-0.2083426209508929
A6vl_L,-0.3346902653303571
A10l_L,-0.1398370843883929
A44d_L,-0.21513750163839288
IFS_L,-0.158834137
A45c_L,-0.1905231769375
A45r_L,-0.3008815708839286
A44op_L,-0.18168971902232142
A44v_L,-0.32640254839732147
A14m_L,-0.12629386621875
47o_L,-0.37634626841964286
A11l_L,-0.5434866478258928
A11m_L,0.14756961023660714
A13_L,-0.4222093861696428
47l_L,-0.3629188111428571
A4hf_L,-0.7180995261830356
A6cdl_L,-0.5223928582767857
A4ul_L,-0.5707256316205357
A4t_L,-0.6824486793258929
A4tl_L,-0.42433909811160714
A6cvl_L,-0.5285048136830357
3ll_L,-0.5110575004508929
A4ll_L,-0.7248139905803571
A38m_L,-0.33658104303124997
42_L,-0.4885511681294643
TE1.2_L,-0.5237479705491072
A22c_L,-0.5886156556830356
A38l_L,-0.49518201603571427
A22r_L,-0.38804629172767857
A21c_L,-0.27626916480357144
A21r_L,-0.37507680118750003
A37dl_L,-0.13738550645089284
aSTS_L,-0.5057458117008929
A20iv_L,-0.27402572265624997
A37elv_L,-0.013357930133928572
A20r_L,-0.20712371840625002
A20il_L,-0.14782214391964285
A37vl_L,-0.2025195017901786
A20cl_L,-0.030038263982142852
A20cv_L,-0.37658313407589283
A20rv_L,-0.38280429264285715
A37mv_L,-0.4965602797767858
A37lv_L,-0.3357910716741071
36r_L,-0.3543727223348214
36c_L,-0.36938053945089283
TL_L,-0.3324586219910714
34_L,-0.29918998463839286
TI_L,0.06767074365178571
TH_L,-0.2859150516205357
rpSTS_L,-0.31674566528125003
cpSTS_L,-0.3548075713482143
A7r_L,-0.3301296157098214
A7c_L,-0.40942253944642854
A5l_L,-0.3175382426294643
A7pc_L,-0.46157474359375
A7ip_L,-0.4436775126473214
A39c_L,-0.4871614169642857
A39rd_L,-0.43795058920089286
A40rd_L,-0.44655423558928575
A40c_L,-0.4342227195803572
A39rv_L,-0.4463927916383928
A40rv_L,-0.36398805231250003
A7m_L,-0.5534888570044643
A5m_L,-0.5404969259553571
dmPOS_L,-0.52458760609375
A31_L,-0.5890109807857142
3ulhf_L,-0.49622654115625
3tonIa_L,-0.6094529325267857
A2_L,-0.4753296679508929
3tru_L,-0.4755684847857143
G_L,-0.2759813018035714
vIa_L,-0.5487538872142858
dIa_L,-0.36066161934374996
vIg_L,-0.5583820518928572
dIg_L,-0.48302191431249997
dId_L,-0.47865632579910716
A23d_L,-0.5544968244375
A24rv_L,-0.10195827429464285
A32p_L,-0.2219333347991071
A23v_L,-0.3473562629866071
A24cd_L,-0.1412720541607143
A23c_L,-0.5307076769375
A32sg_L,-0.34161245594196427
cLinG_L,-0.25927751553125
rCunG_L,-0.3869492167455357
cCunG_L,-0.20675907416964284
rLinG_L,-0.34173029008928574
vmPOS_L,-0.2729820595223214
mOccG_L,-0.42717000352678575
MT+_L,-0.33019626463839286
OPC_L,-0.5000329038080357
iOccG_L,-0.4907570687857143
msOccG_L,-0.45081072381250004
lsOccG_L,-0.4574853149508929
Left-Thalamus-Proper,-0.33196117875
Left-Caudate,-0.23210303432142856
Left-Putamen,-0.3890694944151785
Left-Pallidum,-0.35721394350892854
Left-Hippocampus,-0.3160642712366072
Left-Amygdala,-0.36224950093303576
Left-Accumbens-area,-0.2319965606830357
Right-Thalamus-Proper,-0.46809216694196426
