region,rvalue-s,pvalue-s,fdr-pvalue-s,rvalue,pvalue,fdr-pvalue
A8m_R,-0.06862848007209559,0.1801554868460301,0.6246967091455591,-0.06131859682846965,0.2312157385433387,0.6474040679213484
A8dl_R,-0.09759147112864683,0.05636315121575053,0.4423143863674856,-0.07334951975772071,0.15193876385905697,0.5905786138404719
A9l_R,-0.06087789030278555,0.2345922769872871,0.6637837669202049,-0.07138909162701447,0.16321949000852823,0.5905786138404719
A6dl_R,-0.09528623836437501,0.06247155922869649,0.4423143863674856,-0.09552111643011013,0.061825222484949344,0.44107676679036034
A6m_R,-0.11418100692613652,0.02544525681644256,0.31685829451374303,-0.12570902662768013,0.013820074623730588,0.35854367136503545
A9m_R,-0.08886046019721731,0.08242487624370054,0.5075793267816562,-0.08736661911854157,0.08773361176751415,0.4679125960934088
A10m_R,-0.003618131933281659,0.943734397361694,0.9747592355449838,-0.0007115342534351177,0.9889261279087457,0.9948480040811457
46d_R,-0.10560777863349305,0.03884646656120983,0.3480643403884401,-0.09424845316264349,0.06539430420294058,0.44107676679036034
IFJ_R,-0.11422156086663506,0.025392805724871622,0.31685829451374303,-0.09104890620672475,0.07511914045967194,0.4511789842860939
A46_R,-0.0226168014034147,0.659047062372947,0.8729190851746559,-0.013637273246219139,0.7902186313179813,0.9156959428080576
46v_R,0.0023010496953649157,0.9641987373165845,0.9747592355449838,-0.0050876926490268145,0.920945096169245,0.9668141599303355
A8vl_R,-0.10098785890312836,0.0482723520819379,0.4004817357908922,-0.09384975663787261,0.06654662094568699,0.44107676679036034
A6vl_R,-0.08527548012548215,0.09562266035105874,0.5075793267816562,-0.08848797523303627,0.08372368583855744,0.4574172104350455
A10l_R,-0.02450086161144811,0.6326531934503902,0.8694129775023767,-0.001959764454146828,0.9695058800112342,0.9871332596478021
A44d_R,0.024618169104298985,0.6310246920743122,0.8694129775023767,0.025298808212186663,0.6216112166214882,0.8477069509327819
IFS_R,-0.007627119794611897,0.8817272735141379,0.9541396582954922,0.006149711160451027,0.9045148593160257,0.9648158499370941
A45c_R,-0.013728584347790247,0.7888470186905494,0.9183570228089439,-0.01689522344479618,0.7417106776747493,0.8790645068737769
A45r_R,-0.027191746578782993,0.5957572191098568,0.8583965818222788,-0.003005632145342076,0.9532474139787604,0.980630878904286
A44op_R,-0.018637918686424032,0.7161637389807745,0.8833820921628184,-0.006638979764455695,0.8969587499102288,0.9648158499370941
A44v_R,0.021893746455435393,0.6692920985879245,0.8729190851746559,0.022501077804738322,0.6606825469004797,0.8505338534810772
A14m_R,0.03529483171784269,0.4910181614323069,0.843898987090609,0.06740974084123558,0.18803299616331579,0.5932308611349681
47o_R,-0.03478560013764216,0.4972976173926803,0.843898987090609,-0.037152422465907775,0.46847596251370976,0.793650845620759
A11l_R,-0.007203106680406615,0.8882581343106855,0.9562888499175856,-0.003236322318349883,0.9496636064680515,0.980630878904286
A11m_R,0.08821244463118846,0.08469500826965858,0.5075793267816562,0.09304668498970509,0.0689182448109938,0.44107676679036034
A13_R,0.005182356920884296,0.9194790977755793,0.9735616614002531,0.009135142694818028,0.8585677732411684,0.952075154485256
47l_R,-0.05373329295040053,0.294223237812976,0.714973805835403,-0.052757562192667626,0.30309057750348034,0.7293458828909049
A4hf_R,-0.06425321994741555,0.20960695767908577,0.6626065024500135,-0.04963611481807358,0.33263496799483167,0.730492478733748
A6cdl_R,-0.060557899843369116,0.23706563104293032,0.6637837669202049,-0.04044257431461255,0.4299877129682662,0.7767519976200937
A4ul_R,-0.04399697882518955,0.3905395524536559,0.7952805431783538,-0.02106681186995362,0.6810845265499647,0.8645135264109666
A4t_R,-0.05485865815064269,0.2842132743662263,0.714973805835403,-0.04415941774586798,0.3887906935587616,0.7675839199821332
A4tl_R,-0.014324314989689849,0.7799145377394465,0.9183570228089439,-0.04702742254476857,0.35870030522659735,0.7565859277329086
A6cvl_R,-0.05019035090437715,0.327258180404985,0.7383656813959427,-0.026725657907520923,0.6020777107765934,0.8387329873125885
3ll_R,-0.07116622858319785,0.16454069662803406,0.6213575334817093,-0.08246024112126107,0.10712547209484026,0.5332467944276492
A4ll_R,-0.06547003705904123,0.20108802931179434,0.6589936334311022,-0.0696592629590394,0.17368574617091606,0.5905786138404719
A38m_R,-0.039596759258836135,0.4397034954465433,0.8235071993091795,-0.05899102537728175,0.24944158381007292,0.6521009486194939
42_R,-0.05346529577688617,0.2966413286496509,0.714973805835403,-0.07767717875669491,0.12914123030843447,0.5754511569245464
TE1.2_R,-0.03149774688470372,0.5388448683015498,0.8451903026221329,-0.04251179924011082,0.40674912567865673,0.7675839199821332
A22c_R,-0.12063486917336766,0.01818716598376841,0.31685829451374303,-0.11942826510585713,0.019387707079270795,0.35854367136503545
A38l_R,-0.08682996143072517,0.08970653670856721,0.5075793267816562,-0.09474489911775073,0.06398243129553198,0.44107676679036034
A22r_R,-0.08591969262312302,0.0931341872228533,0.5075793267816562,-0.08255072386051013,0.1067395076766351,0.5332467944276492
A21c_R,-0.004307766001311311,0.9330329989113431,0.9735616614002531,0.0016118203881265835,0.9749179540430347,0.9881521344146595
A21r_R,-0.004216707896225826,0.9344453446475645,0.9735616614002531,-0.03390517312259137,0.5082540848863395,0.8095469135737897
A37dl_R,0.010510728360112355,0.8375468728274469,0.9333855697181497,0.029057792404117756,0.5707595920845666,0.8195522347880957
aSTS_R,-0.07224907169850352,0.15819587143383326,0.6213575334817093,-0.07005070444542781,0.17127469029852616,0.5905786138404719
A20iv_R,-0.04796210729498067,0.34921772775937165,0.7745026833475174,-0.04892578833918151,0.33960862077627907,0.7385663209115195
A37elv_R,-0.04624490317292185,0.36676193253606404,0.7750440838497957,-0.042652371223799154,0.40519797543304004,0.7675839199821332
A20r_R,-0.009651565138588964,0.8506635543939614,0.9350828454877723,-0.03887278506669929,0.44811848255260006,0.7834614390150335
